timestamp,NO2,month,day,hour
449208,0.09226307778750581,3,31,0
449209,0.13546053528597624,3,31,1
449210,0.10954206078689398,3,31,2
449211,0.17433824703459963,3,31,3
449212,0.1700185012847526,3,31,4
449213,0.11386180653674101,3,31,5
449214,0.1225012980364351,3,31,6
449215,0.1700185012847526,3,31,7
449216,0.2607331620315405,3,31,8
449217,0.312570111029705,3,31,9
449218,0.3471280770284813,3,31,10
449219,0.27369239928108163,3,31,11
449220,0.17433824703459963,3,31,12
449221,0.13114078953612918,3,31,13
449222,0.0706643490382706,3,31,14
449223,0.0706643490382706,3,31,15
449224,0.06634460328842355,3,31,16
449225,0.0706643490382706,3,31,17
449226,0.0706643490382706,3,31,18
449227,0.1225012980364351,3,31,19
449228,0.13114078953612918,3,31,20
449229,0.13546053528597624,3,31,21
449230,0.20889621303337597,3,31,22
449231,0.27801214503092864,3,31,23
449232,0.12279493158314271,4,1,0
449233,0.10983569433360159,4,1,1
449234,0.053678999585590054,4,1,2
449235,0.08391721983451933,4,1,3
449236,0.07095798258497822,4,1,4
449237,0.12711467733298976,4,1,5
449238,0.14007391458253088,4,1,6
449239,0.19623060933054243,4,1,7
449240,0.26102679557824804,4,1,8
449241,0.26966628707794216,4,1,9
449244,0.11415544008344863,4,1,12
449245,0.006161796337272594,4,1,13
449246,-0.011117186662115565,4,1,14
449247,-0.01975667816180965,4,1,15
449248,-0.02407642391165669,4,1,16
449249,-0.02407642391165669,4,1,17
449250,0.006161796337272594,4,1,18
449251,-0.006797440912268532,4,1,19
449252,0.03208027083635485,4,1,20
449253,0.04071976233604893,4,1,21
449254,0.19623060933054243,4,1,22
449255,0.2351083210791658,4,1,23
449256,0.3907247028338901,4,2,0
449257,0.3043297878369492,4,2,1
449258,0.2049756355904673,4,2,2
449259,0.15745843234214985,4,2,3
449260,0.11858072059352645,4,2,4
449261,0.13585970359291463,4,2,5
449262,0.09698199184429125,4,2,6
449263,0.08834250034459716,4,2,7
449264,0.08834250034459716,4,2,8
449265,0.09698199184429125,4,2,9
449266,0.10130173759413828,4,2,10
449267,0.06242402584551488,4,2,11
449268,0.045145042846126714,4,2,12
449269,0.045145042846126714,4,2,13
449270,0.04082529709627967,4,2,14
449271,0.03650555134643263,4,2,15
449272,0.04082529709627967,4,2,16
449273,0.045145042846126714,4,2,17
449274,0.045145042846126714,4,2,18
449275,0.0537845343458208,4,2,19
449276,0.13153995784306757,4,2,20
449277,0.1963361440907732,4,2,21
449278,0.22225461858985548,4,2,22
449279,0.10562148334398533,4,2,23
449280,0.19581315885962583,4,3,0
449281,0.21309214185901398,4,3,1
449282,0.23037112485840217,4,3,2
449283,0.3038068026058019,4,3,3
449284,0.26924883660702553,4,3,4
449285,0.2260513791085551,4,3,5
449286,0.29948705685595484,4,3,6
449287,0.3556437516039664,4,3,7
449288,0.3988412091024368,4,3,8
449289,0.3772424803532016,4,3,9
449290,0.29516731110610783,4,3,10
449291,0.25196985360763735,4,3,11
449292,0.20013290460947286,4,3,12
449293,0.15693544711100244,4,3,13
449294,0.15693544711100244,4,3,14
449295,0.1482959556113084,4,3,15
449296,0.1482959556113084,4,3,16
449297,0.1612551928608495,4,3,17
449298,0.19149341310977877,4,3,18
449299,0.19149341310977877,4,3,19
449300,0.18717366735993174,4,3,20
449301,0.2260513791085551,4,3,21
449302,0.19581315885962583,4,3,22
449303,0.18285392161008468,4,3,23
449304,0.19681971913955948,4,4,0
449305,0.19249997338971245,4,4,1
449306,0.21409870213894766,4,4,2
449307,0.21409870213894766,4,4,3
449308,0.18386048189001836,4,4,4
449309,0.1881802276398654,4,4,5
449310,0.19681971913955948,4,4,6
449311,0.17954073614017133,4,4,7
449312,0.1881802276398654,4,4,8
449313,0.17090124464047723,4,4,9
449314,0.19681971913955948,4,4,10
449315,0.2184184478887947,4,4,11
449316,0.2097789563891006,4,4,12
449317,0.20113946488940654,4,4,13
449318,0.1881802276398654,4,4,14
449319,0.17522099039032427,4,4,15
449320,0.17522099039032427,4,4,16
449321,0.17090124464047723,4,4,17
449322,0.17090124464047723,4,4,18
449323,0.17954073614017133,4,4,19
449324,0.1881802276398654,4,4,20
449325,0.21409870213894766,4,4,21
449326,0.2745751426368062,4,4,22
449327,0.25297641388757103,4,4,23
449328,0.19747841040728145,4,5,0
449329,0.18451917315774033,4,5,1
449330,0.21043764765682257,4,5,2
449331,0.2320363764060578,4,5,3
449332,0.23635612215590482,4,5,4
449333,0.149961207158964,4,5,5
449334,0.2622745966549871,4,5,6
449335,0.24931535940544597,4,5,7
449336,0.20179815615712848,4,5,8
449337,0.13268222415957584,4,5,9
449338,0.12836247840972878,4,5,10
449339,0.12836247840972878,4,5,11
449340,0.13268222415957584,4,5,12
449341,0.1197229869100347,4,5,13
449342,0.11108349541034061,4,5,14
449343,0.10244400391064654,4,5,15
449344,0.10244400391064654,4,5,16
449345,0.10244400391064654,4,5,17
449346,0.11108349541034061,4,5,18
449347,0.11540324116018766,4,5,19
449348,0.1197229869100347,4,5,20
449349,0.1413217156592699,4,5,21
449350,0.1413217156592699,4,5,22
449351,0.11540324116018766,4,5,23
449352,0.06148865464842381,4,6,0
449353,0.057168908898576766,4,6,1
449354,0.07876763764781197,4,6,2
449355,0.10900585789674128,4,6,3
449356,0.09172687489735311,4,6,4
449357,0.1306045866459765,4,6,5
449358,0.09604662064720014,4,6,6
449359,0.12628484089612943,4,6,7
449360,0.14788356964536464,4,6,8
449361,0.17812178989429392,4,6,9
449362,0.1738020441444469,4,6,10
449363,0.12628484089612943,4,6,11
449364,0.10036636639704719,4,6,12
449365,0.08740712914750606,4,6,13
449366,0.10036636639704719,4,6,14
449367,0.08740712914750606,4,6,15
449368,0.07444789189796494,4,6,16
449369,0.07876763764781197,4,6,17
449370,0.08308738339765902,4,6,18
449371,0.08740712914750606,4,6,19
449372,0.09604662064720014,4,6,20
449373,0.10900585789674128,4,6,21
449374,0.07444789189796494,4,6,22
449375,0.10036636639704719,4,6,23
449376,0.1760432766877616,4,7,0
449377,0.1846827681874557,4,7,1
449378,0.12852607343944417,4,7,2
449379,0.12852607343944417,4,7,3
449380,0.11988658193975008,4,7,4
449381,0.11988658193975008,4,7,5
449382,0.14148531068898526,4,7,6
449383,0.15012480218867935,4,7,7
449384,0.1846827681874557,4,7,8
449385,0.24515920868531435,4,7,9
449386,0.29699615768347887,4,7,10
449387,0.26675793743454956,4,7,11
449388,0.21924073418623202,4,7,12
449389,0.22356047993607914,4,7,13
449390,0.1760432766877616,4,7,14
449391,0.1544445479385264,4,7,15
449392,0.15012480218867935,4,7,16
449393,0.15876429368837344,4,7,17
449394,0.1544445479385264,4,7,18
449395,0.14148531068898526,4,7,19
449396,0.1544445479385264,4,7,20
449397,0.17172353093791456,4,7,21
449398,0.18900251393730275,4,7,22
449399,0.20196175118684387,4,7,23
449400,0.0943488950556872,4,8,0
449401,0.09002914930584016,4,8,1
449402,0.12026736955476945,4,8,2
449403,0.10298838655538128,4,8,3
449404,0.08570940355599313,4,8,4
449405,0.09866864080553424,4,8,5
449406,0.13754635255415762,4,8,6
449407,0.1850635558024751,4,8,7
